,loss,val_loss,acc,val_acc
0,0.007848341410110394,0.31878284317652383,83.58833333333334,88.4
1,0.00478193533209463,0.2570594709078471,88.91333333333333,90.62
2,0.004192223559940855,0.24290833463668823,90.31166666666667,91.09333333333333
3,0.0039053357504308223,0.22701978044112522,90.91666666666667,91.435
4,0.00366411187791576,0.1944465675433477,91.46166666666666,92.94666666666667
5,0.0034813484211762744,0.20138298961321513,91.90333333333334,92.66333333333333
6,0.0033273682697986563,0.21132304405768712,92.14166666666667,92.08833333333334
7,0.0031701265580331285,0.18201411877671878,92.57666666666667,93.38333333333333
8,0.003051670851930976,0.1780443402816852,92.785,93.25833333333333
9,0.002874891458234439,0.16288351559440295,93.245,93.905
10,0.0027829259517292183,0.15820447836319607,93.47166666666666,94.15166666666667
11,0.002673294090603789,0.1513167220056057,93.75333333333333,94.32333333333334
12,0.002585650909226388,0.14799675479332605,93.88,94.48833333333333
13,0.002523515510124465,0.15327340585390728,94.10833333333333,94.35833333333333
14,0.002412699731749793,0.1332995998899142,94.29333333333332,94.94833333333334
15,0.0022823875636793674,0.13400233753919602,94.58166666666666,94.99499999999999
16,0.0022750962594213584,0.13282908490101497,94.56,94.94166666666666
17,0.0021914744673296807,0.1431766895790895,94.83666666666667,94.39
18,0.002134565907344222,0.10743400766253472,94.94333333333333,96.05166666666666
19,0.0020829220421612264,0.10591983222067355,95.11166666666668,95.98333333333333
20,0.0020281480139742293,0.09638890478114287,95.22500000000001,96.40666666666667
21,0.0019063050807919353,0.0934530247285962,95.45166666666667,96.60166666666666
22,0.0019306386592021832,0.09968132951557636,95.43833333333333,96.24333333333334
23,0.0018711844958054522,0.1027537031720082,95.49666666666667,96.15
24,0.0017967465717035034,0.10455607091238102,95.645,95.99833333333333
25,0.0017672304285690189,0.0897632261916995,95.84666666666666,96.64
26,0.0017679996599986529,0.08741569450174769,95.82000000000001,96.875
27,0.0017265975987228255,0.1216644912754496,95.89833333333333,95.49833333333333
28,0.0015708500526457404,0.08621692079106967,96.20666666666666,96.84333333333333
29,0.0016532135387184099,0.08562704846722384,96.09666666666666,96.84
30,0.0015600192372842382,0.0891133465565741,96.31333333333333,96.73666666666666
31,0.0015149968415343513,0.08349758905495207,96.39999999999999,96.82333333333332
32,0.001579004884051392,0.08471834077127278,96.34166666666667,96.82833333333333
33,0.0015137181456045558,0.07674306920220454,96.42333333333333,97.18166666666667
34,0.001460997696525495,0.07213523214285572,96.58,97.26333333333334
35,0.0014560470701544545,0.07817568731034795,96.58833333333334,97.14666666666668
36,0.001386645708566842,0.07009557606950402,96.70166666666667,97.40833333333333
37,0.001434511090198066,0.08405007139655452,96.65166666666667,96.81666666666666
38,0.0013032718604430557,0.06226812346478303,96.96000000000001,97.67833333333333
39,0.0013794876644931113,0.06460881117284298,96.78,97.595
40,0.0013601351984369103,0.08752037954280774,96.78666666666666,96.72833333333334
41,0.001304121821645337,0.08802750847414136,96.92333333333333,96.84
42,0.0013023553541939084,0.05978129589110613,96.87,97.71333333333332
43,0.0012714797593497982,0.0697561371697113,97.01833333333333,97.39
44,0.0013047530399053358,0.06276889512104293,96.985,97.58166666666666
45,0.0012853898759572378,0.06807673676684499,97.05666666666667,97.49166666666666
46,0.0012075374577533997,0.07455413730417688,97.16833333333334,97.29166666666667
47,0.0012256482888789227,0.07007759441062808,97.20166666666667,97.31833333333333
48,0.001211714014527388,0.052995957656453055,97.205,97.99833333333333
49,0.0011960429023699058,0.07322717235038678,97.255,97.28333333333333
50,0.0011414971977200669,0.05058308222197617,97.32166666666666,98.11999999999999
